SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Muscle

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
Muscle                 7.2164e+9     6.7442e+0     4.6570e+1  
Muscle                 7.2836e+9     6.8329e+0     4.6478e+1  
Muscle                 7.3507e+9     6.9219e+0     4.6386e+1  
Muscle                 7.4179e+9     7.0112e+0     4.6294e+1  
Muscle                 7.4851e+9     7.1008e+0     4.6203e+1  
Muscle                 7.5522e+9     7.1908e+0     4.6111e+1  
Muscle                 7.6194e+9     7.2810e+0     4.6019e+1  
Muscle                 7.6866e+9     7.3716e+0     4.5927e+1  
Muscle                 7.7537e+9     7.4624e+0     4.5835e+1  
Muscle                 7.8209e+9     7.5535e+0     4.5743e+1  
Muscle                 7.8881e+9     7.6449e+0     4.5650e+1  
Muscle                 7.9552e+9     7.7365e+0     4.5558e+1  
Muscle                 8.0224e+9     7.8284e+0     4.5466e+1  
Muscle                 8.0896e+9     7.9206e+0     4.5374e+1  
Muscle                 8.1567e+9     8.0130e+0     4.5282e+1  
Muscle                 8.2239e+9     8.1057e+0     4.5190e+1  
Muscle                 8.2910e+9     8.1986e+0     4.5098e+1  
Muscle                 8.3582e+9     8.2917e+0     4.5006e+1  
Muscle                 8.4254e+9     8.3851e+0     4.4913e+1  
Muscle                 8.4925e+9     8.4786e+0     4.4821e+1  
Muscle                 8.5597e+9     8.5724e+0     4.4729e+1  
Muscle                 8.6269e+9     8.6664e+0     4.4637e+1  
Muscle                 8.6940e+9     8.7606e+0     4.4545e+1  
Muscle                 8.7612e+9     8.8551e+0     4.4453e+1  
Muscle                 8.8284e+9     8.9497e+0     4.4361e+1  
Muscle                 8.8955e+9     9.0445e+0     4.4269e+1  
Muscle                 8.9627e+9     9.1394e+0     4.4177e+1  
Muscle                 9.0299e+9     9.2346e+0     4.4085e+1  
Muscle                 9.0970e+9     9.3299e+0     4.3993e+1  
Muscle                 9.1642e+9     9.4254e+0     4.3901e+1  
Muscle                 9.2313e+9     9.5211e+0     4.3810e+1  
Muscle                 9.2985e+9     9.6169e+0     4.3718e+1  
Muscle                 9.3657e+9     9.7129e+0     4.3626e+1  
Muscle                 9.4328e+9     9.8090e+0     4.3535e+1  
Muscle                 9.5000e+9     9.9052e+0     4.3443e+1  
Muscle                 9.5672e+9     1.0002e+1     4.3352e+1  
Muscle                 9.6343e+9     1.0098e+1     4.3260e+1  
Muscle                 9.7015e+9     1.0195e+1     4.3169e+1  
Muscle                 9.7687e+9     1.0292e+1     4.3077e+1  
Muscle                 9.8358e+9     1.0389e+1     4.2986e+1  
Muscle                 9.9030e+9     1.0486e+1     4.2895e+1  
Muscle                 9.9701e+9     1.0583e+1     4.2804e+1  
Muscle                1.0037e+10     1.0680e+1     4.2713e+1  
Muscle                1.0104e+10     1.0777e+1     4.2622e+1  
Muscle                1.0172e+10     1.0875e+1     4.2531e+1  
Muscle                1.0239e+10     1.0972e+1     4.2441e+1  
Muscle                1.0306e+10     1.1070e+1     4.2350e+1  
Muscle                1.0373e+10     1.1168e+1     4.2259e+1  
Muscle                1.0440e+10     1.1265e+1     4.2169e+1  
Muscle                1.0507e+10     1.1363e+1     4.2079e+1  
Muscle                1.0575e+10     1.1461e+1     4.1988e+1  
Muscle                1.0642e+10     1.1559e+1     4.1898e+1  
Muscle                1.0709e+10     1.1657e+1     4.1808e+1  
Muscle                1.0776e+10     1.1755e+1     4.1718e+1  
Muscle                1.0843e+10     1.1854e+1     4.1628e+1  
Muscle                1.0910e+10     1.1952e+1     4.1539e+1  
Muscle                1.0978e+10     1.2050e+1     4.1449e+1  
Muscle                1.1045e+10     1.2149e+1     4.1360e+1  
Muscle                1.1112e+10     1.2247e+1     4.1270e+1  
Muscle                1.1179e+10     1.2345e+1     4.1181e+1  
Muscle                1.1246e+10     1.2444e+1     4.1092e+1  
Muscle                1.1313e+10     1.2542e+1     4.1003e+1  
Muscle                1.1381e+10     1.2641e+1     4.0914e+1  
Muscle                1.1448e+10     1.2739e+1     4.0825e+1  
Muscle                1.1515e+10     1.2838e+1     4.0737e+1  
Muscle                1.1582e+10     1.2937e+1     4.0648e+1  
Muscle                1.1649e+10     1.3035e+1     4.0560e+1  
Muscle                1.1716e+10     1.3134e+1     4.0472e+1  
Muscle                1.1784e+10     1.3232e+1     4.0384e+1  
Muscle                1.1851e+10     1.3331e+1     4.0296e+1  
Muscle                1.1918e+10     1.3430e+1     4.0208e+1  
Muscle                1.1985e+10     1.3528e+1     4.0120e+1  
Muscle                1.2052e+10     1.3627e+1     4.0033e+1  
Muscle                1.2119e+10     1.3725e+1     3.9945e+1  
Muscle                1.2187e+10     1.3824e+1     3.9858e+1  
Muscle                1.2254e+10     1.3923e+1     3.9771e+1  
Muscle                1.2321e+10     1.4021e+1     3.9684e+1  
Muscle                1.2388e+10     1.4120e+1     3.9598e+1  
Muscle                1.2455e+10     1.4218e+1     3.9511e+1  
Muscle                1.2522e+10     1.4317e+1     3.9424e+1  
Muscle                1.2590e+10     1.4415e+1     3.9338e+1  
Muscle                1.2657e+10     1.4514e+1     3.9252e+1  
Muscle                1.2724e+10     1.4612e+1     3.9166e+1  
Muscle                1.2791e+10     1.4711e+1     3.9080e+1  
Muscle                1.2858e+10     1.4809e+1     3.8995e+1  
Muscle                1.2925e+10     1.4907e+1     3.8909e+1  
Muscle                1.2993e+10     1.5005e+1     3.8824e+1  
Muscle                1.3060e+10     1.5104e+1     3.8739e+1  
Muscle                1.3127e+10     1.5202e+1     3.8654e+1  
Muscle                1.3194e+10     1.5300e+1     3.8569e+1  
Muscle                1.3261e+10     1.5398e+1     3.8484e+1  
Muscle                1.3328e+10     1.5496e+1     3.8400e+1  
Muscle                1.3396e+10     1.5594e+1     3.8315e+1  
Muscle                1.3463e+10     1.5692e+1     3.8231e+1  
Muscle                1.3530e+10     1.5790e+1     3.8147e+1  
Muscle                1.3597e+10     1.5887e+1     3.8063e+1  
Muscle                1.3664e+10     1.5985e+1     3.7980e+1  
Muscle                1.3731e+10     1.6083e+1     3.7896e+1  
Muscle                1.3799e+10     1.6180e+1     3.7813e+1  
Muscle                1.3866e+10     1.6278e+1     3.7730e+1  
Muscle                1.3933e+10     1.6375e+1     3.7647e+1  
Muscle                1.4000e+10     1.6472e+1     3.7564e+1  
