SINGLE TISSUE, FREQUENCY RANGE
TISSUE: CerebroSpinalFluid

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
CerebroSpinalFluid     6.0746e+9     8.2869e+0     5.9951e+1  
CerebroSpinalFluid     6.1418e+9     8.3977e+0     5.9824e+1  
CerebroSpinalFluid     6.2090e+9     8.5091e+0     5.9697e+1  
CerebroSpinalFluid     6.2761e+9     8.6211e+0     5.9569e+1  
CerebroSpinalFluid     6.3433e+9     8.7335e+0     5.9441e+1  
CerebroSpinalFluid     6.4104e+9     8.8465e+0     5.9313e+1  
CerebroSpinalFluid     6.4776e+9     8.9600e+0     5.9185e+1  
CerebroSpinalFluid     6.5448e+9     9.0740e+0     5.9057e+1  
CerebroSpinalFluid     6.6119e+9     9.1884e+0     5.8929e+1  
CerebroSpinalFluid     6.6791e+9     9.3033e+0     5.8800e+1  
CerebroSpinalFluid     6.7463e+9     9.4187e+0     5.8671e+1  
CerebroSpinalFluid     6.8134e+9     9.5346e+0     5.8543e+1  
CerebroSpinalFluid     6.8806e+9     9.6509e+0     5.8414e+1  
CerebroSpinalFluid     6.9478e+9     9.7676e+0     5.8285e+1  
CerebroSpinalFluid     7.0149e+9     9.8847e+0     5.8155e+1  
CerebroSpinalFluid     7.0821e+9     1.0002e+1     5.8026e+1  
CerebroSpinalFluid     7.1493e+9     1.0120e+1     5.7897e+1  
CerebroSpinalFluid     7.2164e+9     1.0239e+1     5.7768e+1  
CerebroSpinalFluid     7.2836e+9     1.0357e+1     5.7638e+1  
CerebroSpinalFluid     7.3507e+9     1.0476e+1     5.7509e+1  
CerebroSpinalFluid     7.4179e+9     1.0596e+1     5.7379e+1  
CerebroSpinalFluid     7.4851e+9     1.0716e+1     5.7250e+1  
CerebroSpinalFluid     7.5522e+9     1.0836e+1     5.7120e+1  
CerebroSpinalFluid     7.6194e+9     1.0956e+1     5.6990e+1  
CerebroSpinalFluid     7.6866e+9     1.1077e+1     5.6861e+1  
CerebroSpinalFluid     7.7537e+9     1.1198e+1     5.6731e+1  
CerebroSpinalFluid     7.8209e+9     1.1320e+1     5.6601e+1  
CerebroSpinalFluid     7.8881e+9     1.1441e+1     5.6472e+1  
CerebroSpinalFluid     7.9552e+9     1.1563e+1     5.6342e+1  
CerebroSpinalFluid     8.0224e+9     1.1686e+1     5.6212e+1  
CerebroSpinalFluid     8.0896e+9     1.1808e+1     5.6083e+1  
CerebroSpinalFluid     8.1567e+9     1.1931e+1     5.5953e+1  
CerebroSpinalFluid     8.2239e+9     1.2054e+1     5.5824e+1  
CerebroSpinalFluid     8.2910e+9     1.2178e+1     5.5694e+1  
CerebroSpinalFluid     8.3582e+9     1.2301e+1     5.5564e+1  
CerebroSpinalFluid     8.4254e+9     1.2425e+1     5.5435e+1  
CerebroSpinalFluid     8.4925e+9     1.2549e+1     5.5306e+1  
CerebroSpinalFluid     8.5597e+9     1.2674e+1     5.5176e+1  
CerebroSpinalFluid     8.6269e+9     1.2798e+1     5.5047e+1  
CerebroSpinalFluid     8.6940e+9     1.2923e+1     5.4918e+1  
CerebroSpinalFluid     8.7612e+9     1.3048e+1     5.4789e+1  
CerebroSpinalFluid     8.8284e+9     1.3173e+1     5.4660e+1  
CerebroSpinalFluid     8.8955e+9     1.3298e+1     5.4531e+1  
CerebroSpinalFluid     8.9627e+9     1.3424e+1     5.4402e+1  
CerebroSpinalFluid     9.0299e+9     1.3549e+1     5.4273e+1  
CerebroSpinalFluid     9.0970e+9     1.3675e+1     5.4144e+1  
CerebroSpinalFluid     9.1642e+9     1.3801e+1     5.4016e+1  
CerebroSpinalFluid     9.2313e+9     1.3927e+1     5.3888e+1  
CerebroSpinalFluid     9.2985e+9     1.4053e+1     5.3759e+1  
CerebroSpinalFluid     9.3657e+9     1.4180e+1     5.3631e+1  
CerebroSpinalFluid     9.4328e+9     1.4306e+1     5.3503e+1  
CerebroSpinalFluid     9.5000e+9     1.4433e+1     5.3375e+1  
CerebroSpinalFluid     9.5672e+9     1.4559e+1     5.3247e+1  
CerebroSpinalFluid     9.6343e+9     1.4686e+1     5.3120e+1  
CerebroSpinalFluid     9.7015e+9     1.4813e+1     5.2992e+1  
CerebroSpinalFluid     9.7687e+9     1.4940e+1     5.2865e+1  
CerebroSpinalFluid     9.8358e+9     1.5067e+1     5.2738e+1  
CerebroSpinalFluid     9.9030e+9     1.5194e+1     5.2611e+1  
CerebroSpinalFluid     9.9701e+9     1.5322e+1     5.2484e+1  
CerebroSpinalFluid    1.0037e+10     1.5449e+1     5.2357e+1  
CerebroSpinalFluid    1.0104e+10     1.5576e+1     5.2231e+1  
CerebroSpinalFluid    1.0172e+10     1.5704e+1     5.2104e+1  
CerebroSpinalFluid    1.0239e+10     1.5831e+1     5.1978e+1  
CerebroSpinalFluid    1.0306e+10     1.5959e+1     5.1852e+1  
CerebroSpinalFluid    1.0373e+10     1.6086e+1     5.1726e+1  
CerebroSpinalFluid    1.0440e+10     1.6214e+1     5.1601e+1  
CerebroSpinalFluid    1.0507e+10     1.6342e+1     5.1475e+1  
CerebroSpinalFluid    1.0575e+10     1.6469e+1     5.1350e+1  
CerebroSpinalFluid    1.0642e+10     1.6597e+1     5.1225e+1  
