SINGLE TISSUE, FREQUENCY RANGE
TISSUE: BoneCortical

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
BoneCortical           7.0149e+9     1.4466e+0     9.1651e+0  
BoneCortical           7.0821e+9     1.4627e+0     9.1384e+0  
BoneCortical           7.1493e+9     1.4787e+0     9.1120e+0  
BoneCortical           7.2164e+9     1.4947e+0     9.0856e+0  
BoneCortical           7.2836e+9     1.5108e+0     9.0595e+0  
BoneCortical           7.3507e+9     1.5267e+0     9.0335e+0  
BoneCortical           7.4179e+9     1.5427e+0     9.0076e+0  
BoneCortical           7.4851e+9     1.5586e+0     8.9819e+0  
BoneCortical           7.5522e+9     1.5746e+0     8.9563e+0  
BoneCortical           7.6194e+9     1.5905e+0     8.9309e+0  
BoneCortical           7.6866e+9     1.6063e+0     8.9056e+0  
BoneCortical           7.7537e+9     1.6222e+0     8.8805e+0  
BoneCortical           7.8209e+9     1.6380e+0     8.8555e+0  
BoneCortical           7.8881e+9     1.6538e+0     8.8307e+0  
BoneCortical           7.9552e+9     1.6696e+0     8.8060e+0  
BoneCortical           8.0224e+9     1.6854e+0     8.7815e+0  
BoneCortical           8.0896e+9     1.7011e+0     8.7571e+0  
BoneCortical           8.1567e+9     1.7168e+0     8.7328e+0  
BoneCortical           8.2239e+9     1.7325e+0     8.7087e+0  
BoneCortical           8.2910e+9     1.7481e+0     8.6847e+0  
BoneCortical           8.3582e+9     1.7638e+0     8.6609e+0  
BoneCortical           8.4254e+9     1.7794e+0     8.6372e+0  
BoneCortical           8.4925e+9     1.7949e+0     8.6137e+0  
BoneCortical           8.5597e+9     1.8105e+0     8.5902e+0  
BoneCortical           8.6269e+9     1.8260e+0     8.5670e+0  
BoneCortical           8.6940e+9     1.8414e+0     8.5438e+0  
BoneCortical           8.7612e+9     1.8569e+0     8.5208e+0  
BoneCortical           8.8284e+9     1.8723e+0     8.4979e+0  
BoneCortical           8.8955e+9     1.8877e+0     8.4752e+0  
BoneCortical           8.9627e+9     1.9030e+0     8.4526e+0  
