SINGLE TISSUE, FREQUENCY RANGE
TISSUE: SpinalCord

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
SpinalCord             7.0149e+9     3.7840e+0     2.6203e+1  
SpinalCord             7.0821e+9     3.8323e+0     2.6147e+1  
SpinalCord             7.1493e+9     3.8807e+0     2.6092e+1  
SpinalCord             7.2164e+9     3.9293e+0     2.6036e+1  
SpinalCord             7.2836e+9     3.9780e+0     2.5980e+1  
SpinalCord             7.3507e+9     4.0268e+0     2.5925e+1  
SpinalCord             7.4179e+9     4.0758e+0     2.5869e+1  
SpinalCord             7.4851e+9     4.1250e+0     2.5813e+1  
SpinalCord             7.5522e+9     4.1742e+0     2.5758e+1  
SpinalCord             7.6194e+9     4.2236e+0     2.5702e+1  
SpinalCord             7.6866e+9     4.2731e+0     2.5647e+1  
SpinalCord             7.7537e+9     4.3227e+0     2.5592e+1  
SpinalCord             7.8209e+9     4.3724e+0     2.5536e+1  
SpinalCord             7.8881e+9     4.4223e+0     2.5481e+1  
SpinalCord             7.9552e+9     4.4722e+0     2.5426e+1  
SpinalCord             8.0224e+9     4.5223e+0     2.5371e+1  
SpinalCord             8.0896e+9     4.5724e+0     2.5316e+1  
SpinalCord             8.1567e+9     4.6227e+0     2.5261e+1  
SpinalCord             8.2239e+9     4.6731e+0     2.5206e+1  
SpinalCord             8.2910e+9     4.7235e+0     2.5151e+1  
SpinalCord             8.3582e+9     4.7741e+0     2.5096e+1  
SpinalCord             8.4254e+9     4.8247e+0     2.5041e+1  
SpinalCord             8.4925e+9     4.8754e+0     2.4986e+1  
SpinalCord             8.5597e+9     4.9262e+0     2.4932e+1  
SpinalCord             8.6269e+9     4.9770e+0     2.4877e+1  
SpinalCord             8.6940e+9     5.0280e+0     2.4823e+1  
SpinalCord             8.7612e+9     5.0790e+0     2.4768e+1  
SpinalCord             8.8284e+9     5.1301e+0     2.4714e+1  
SpinalCord             8.8955e+9     5.1812e+0     2.4659e+1  
SpinalCord             8.9627e+9     5.2325e+0     2.4605e+1  
SpinalCord             9.0299e+9     5.2837e+0     2.4551e+1  
SpinalCord             9.0970e+9     5.3351e+0     2.4497e+1  
SpinalCord             9.1642e+9     5.3865e+0     2.4443e+1  
SpinalCord             9.2313e+9     5.4379e+0     2.4389e+1  
SpinalCord             9.2985e+9     5.4894e+0     2.4335e+1  
SpinalCord             9.3657e+9     5.5409e+0     2.4281e+1  
SpinalCord             9.4328e+9     5.5925e+0     2.4228e+1  
SpinalCord             9.5000e+9     5.6441e+0     2.4174e+1  
SpinalCord             9.5672e+9     5.6958e+0     2.4121e+1  
SpinalCord             9.6343e+9     5.7475e+0     2.4067e+1  
SpinalCord             9.7015e+9     5.7992e+0     2.4014e+1  
SpinalCord             9.7687e+9     5.8510e+0     2.3961e+1  
SpinalCord             9.8358e+9     5.9028e+0     2.3907e+1  
SpinalCord             9.9030e+9     5.9546e+0     2.3854e+1  
SpinalCord             9.9701e+9     6.0065e+0     2.3801e+1  
SpinalCord            1.0037e+10     6.0583e+0     2.3749e+1  
SpinalCord            1.0104e+10     6.1102e+0     2.3696e+1  
SpinalCord            1.0172e+10     6.1621e+0     2.3643e+1  
SpinalCord            1.0239e+10     6.2141e+0     2.3591e+1  
SpinalCord            1.0306e+10     6.2660e+0     2.3538e+1  
SpinalCord            1.0373e+10     6.3180e+0     2.3486e+1  
SpinalCord            1.0440e+10     6.3699e+0     2.3433e+1  
SpinalCord            1.0507e+10     6.4219e+0     2.3381e+1  
SpinalCord            1.0575e+10     6.4739e+0     2.3329e+1  
SpinalCord            1.0642e+10     6.5258e+0     2.3277e+1  
SpinalCord            1.0709e+10     6.5778e+0     2.3225e+1  
SpinalCord            1.0776e+10     6.6298e+0     2.3173e+1  
SpinalCord            1.0843e+10     6.6818e+0     2.3122e+1  
SpinalCord            1.0910e+10     6.7337e+0     2.3070e+1  
SpinalCord            1.0978e+10     6.7857e+0     2.3019e+1  
SpinalCord            1.1045e+10     6.8377e+0     2.2967e+1  
