SINGLE TISSUE, FREQUENCY RANGE
TISSUE: Fat

       Tissue         Frequency    Conductivity    Relative   
        name             [Hz]         [S/m]      permittivity 
--------------------------------------------------------------
Fat                    7.4179e+9     4.0236e-1     4.8115e+0  
Fat                    7.4851e+9     4.0702e-1     4.8057e+0  
Fat                    7.5522e+9     4.1169e-1     4.8000e+0  
Fat                    7.6194e+9     4.1637e-1     4.7943e+0  
Fat                    7.6866e+9     4.2106e-1     4.7886e+0  
Fat                    7.7537e+9     4.2575e-1     4.7829e+0  
Fat                    7.8209e+9     4.3045e-1     4.7772e+0  
Fat                    7.8881e+9     4.3516e-1     4.7716e+0  
Fat                    7.9552e+9     4.3987e-1     4.7659e+0  
Fat                    8.0224e+9     4.4459e-1     4.7603e+0  
Fat                    8.0896e+9     4.4931e-1     4.7547e+0  
Fat                    8.1567e+9     4.5404e-1     4.7491e+0  
Fat                    8.2239e+9     4.5878e-1     4.7435e+0  
Fat                    8.2910e+9     4.6352e-1     4.7380e+0  
Fat                    8.3582e+9     4.6826e-1     4.7324e+0  
Fat                    8.4254e+9     4.7301e-1     4.7269e+0  
Fat                    8.4925e+9     4.7776e-1     4.7214e+0  
Fat                    8.5597e+9     4.8252e-1     4.7159e+0  
Fat                    8.6269e+9     4.8728e-1     4.7105e+0  
Fat                    8.6940e+9     4.9205e-1     4.7050e+0  
Fat                    8.7612e+9     4.9682e-1     4.6996e+0  
Fat                    8.8284e+9     5.0159e-1     4.6942e+0  
Fat                    8.8955e+9     5.0637e-1     4.6888e+0  
Fat                    8.9627e+9     5.1115e-1     4.6834e+0  
Fat                    9.0299e+9     5.1593e-1     4.6780e+0  
Fat                    9.0970e+9     5.2071e-1     4.6726e+0  
Fat                    9.1642e+9     5.2550e-1     4.6673e+0  
Fat                    9.2313e+9     5.3029e-1     4.6620e+0  
Fat                    9.2985e+9     5.3508e-1     4.6567e+0  
Fat                    9.3657e+9     5.3988e-1     4.6514e+0  
Fat                    9.4328e+9     5.4467e-1     4.6461e+0  
Fat                    9.5000e+9     5.4947e-1     4.6409e+0  
Fat                    9.5672e+9     5.5427e-1     4.6356e+0  
Fat                    9.6343e+9     5.5907e-1     4.6304e+0  
Fat                    9.7015e+9     5.6387e-1     4.6252e+0  
Fat                    9.7687e+9     5.6867e-1     4.6200e+0  
Fat                    9.8358e+9     5.7347e-1     4.6149e+0  
Fat                    9.9030e+9     5.7827e-1     4.6097e+0  
Fat                    9.9701e+9     5.8308e-1     4.6046e+0  
Fat                   1.0037e+10     5.8788e-1     4.5994e+0  
Fat                   1.0104e+10     5.9268e-1     4.5943e+0  
Fat                   1.0172e+10     5.9749e-1     4.5892e+0  
Fat                   1.0239e+10     6.0229e-1     4.5842e+0  
Fat                   1.0306e+10     6.0710e-1     4.5791e+0  
Fat                   1.0373e+10     6.1190e-1     4.5741e+0  
Fat                   1.0440e+10     6.1670e-1     4.5691e+0  
Fat                   1.0507e+10     6.2151e-1     4.5641e+0  
Fat                   1.0575e+10     6.2631e-1     4.5591e+0  
Fat                   1.0642e+10     6.3111e-1     4.5541e+0  
Fat                   1.0709e+10     6.3591e-1     4.5491e+0  
Fat                   1.0776e+10     6.4071e-1     4.5442e+0  
Fat                   1.0843e+10     6.4550e-1     4.5393e+0  
