#"Frequency / GHz"	"Eps'' [Real]"
#--------------------------------
0.50000000000000	0.86924153566360
0.50300300121307	0.86839854717255
0.50600600242615	0.86759126186371
0.50900900363922	0.86681908369064
0.50992506742477	0.86659044027328
0.51201200485229	0.86608141660690
0.51501500606537	0.86537760496140
0.51801800727844	0.86470705270767
0.52004712820053	0.86427253484726
0.52102100849152	0.86406928300858
0.52402400970459	0.86346358060837
0.52702701091766	0.86288952827454
0.53003001213074	0.86234647035599
0.53037011623383	0.86228692531586
0.53303301334381	0.86183398962021
0.53603601455688	0.86135149002075
0.53903901576996	0.86089855432510
0.54089802503586	0.86063271760941
0.54204201698303	0.86047458648682
0.54504501819611	0.86007910966873
0.54804801940918	0.85971176624298
0.55105108022690	0.85937196016312
0.55163490772247	0.85930907726288
0.55405408143997	0.85905933380127
0.55705708265305	0.85877341032028
0.56006008386612	0.85851377248764
0.56258487701416	0.85831546783447
0.56306308507919	0.85827994346619
0.56606608629227	0.85807156562805
0.56906908750534	0.85788828134537
0.57207208871841	0.85772955417633
0.57375228404999	0.85765135288239
0.57507508993149	0.85759508609772
0.57807809114456	0.85748451948166
0.58108109235764	0.85739743709564
0.58408409357071	0.85733348131180
0.58514130115509	0.85731637477875
0.58708709478378	0.85729229450226
