#"Frequency / GHz"	"S1,1 (tcoupling=4) [Magnitude / dB]"
#-------------------------------------------------------
0.50000000000000	-1.1490331395281
0.50300002098083	-1.1499455578053
0.50599998235703	-1.1509136636430
0.50900000333786	-1.1519393773900
0.51200002431870	-1.1530217870384
0.51499998569489	-1.1541647130464
0.51800000667572	-1.1553701132915
0.52100002765656	-1.1566356631893
0.52399998903275	-1.1579662750390
0.52700001001358	-1.1593594623180
0.52999997138977	-1.1608207443861
0.53299999237061	-1.1623443969402
0.53600001335144	-1.1639355073426
0.53899997472763	-1.1655933387242
0.54199999570847	-1.1673189866781
0.54500001668930	-1.1691128068701
0.54799997806549	-1.1709733093251
0.55099999904633	-1.1728994824319
0.55400002002716	-1.1748962100614
0.55699998140335	-1.1769582048562
0.56000000238419	-1.1790881062703
0.56300002336502	-1.1812845309457
0.56599998474121	-1.1835474124169
0.56900000572205	-1.1858758216622
0.57200002670288	-1.1882700258579
0.57499998807907	-1.1907294552552
0.57800000905991	-1.1932522335673
0.58099997043610	-1.1958370708408
0.58399999141693	-1.1984866855601
0.58700001239777	-1.2011971803887
0.58999997377396	-1.2039694849490
0.59299999475479	-1.2068013620982
0.59600001573563	-1.2096922507491
0.59899997711182	-1.2126418362273
0.60199999809265	-1.2156472268134
0.60500001907349	-1.2187103331421
0.60799998044968	-1.2218279903379
0.61100000143051	-1.2250020271427
0.61400002241135	-1.2282281934555
0.61699998378754	-1.2315089311554
0.62000000476837	-1.2348400435371
0.62300002574921	-1.2382219003943
0.62599998712540	-1.2416538108363
0.62900000810623	-1.2451361536447
0.63200002908707	-1.2486665326417
0.63499999046326	-1.2522450794618
0.63800001144409	-1.2558724912565
0.64099997282028	-1.2595437961999
0.64399999380112	-1.2632632651338
0.64700001478195	-1.2670284389314
0.64999997615814	-1.2708392284611
0.65299999713898	-1.2746942102731
0.65600001811981	-1.2785942746346
0.65899997949600	-1.2825393236671
0.66200000047684	-1.2865289573670
0.66500002145767	-1.2905636065245
0.66799998283386	-1.2946417258149
0.67100000381470	-1.2987652342328
0.67400002479553	-1.3029336994799
0.67699998617172	-1.3071500396636
0.68000000715256	-1.3114105664948
0.68300002813339	-1.3157173662877
0.68599998950958	-1.3200728599072
0.68900001049042	-1.3244758403014
0.69199997186661	-1.3289275409825
0.69499999284744	-1.3334291323332
0.69800001382828	-1.3379825278230
0.70099997520447	-1.3425889407330
0.70399999618530	-1.3472471725666
0.70700001716614	-1.3519609605921
0.70999997854233	-1.3567312476995
0.71299999952316	-1.3615600286235
0.71600002050400	-1.3664466876826
0.71899998188019	-1.3713965529870
0.72200000286102	-1.3764085869234
0.72500002384186	-1.3814859645843
0.72799998521805	-1.3866314162192
0.73100000619888	-1.3918458463186
0.73400002717972	-1.3971304039448
0.73699998855591	-1.4024897819683
0.74000000953674	-1.4079247454179
0.74299997091293	-1.4134370984631
0.74599999189377	-1.4190317509222
0.74900001287460	-1.4247083083351
0.75199997425079	-1.4304719237815
0.75499999523163	-1.4363219590691
0.75800001621246	-1.4422651307527
0.76099997758865	-1.4483002616014
0.76399999856949	-1.4544323528246
0.76700001955032	-1.4606628251316
0.76999998092651	-1.4669951199393
0.77300000190735	-1.4734324864598
0.77600002288818	-1.4799767858977
0.77899998426437	-1.4866298755534
0.78200000524521	-1.4933966509577
0.78500002622604	-1.5002787026401
0.78799998760223	-1.5072790838588
0.79100000858307	-1.5144010150620
0.79400002956390	-1.5216444968719
0.79699999094009	-1.5290155047247
0.80000001192093	-1.5365156312248
0.80299997329712	-1.5441465694698
0.80599999427795	-1.5519112241915
0.80900001525879	-1.5598132810953
0.81199997663498	-1.5678523302369
0.81499999761581	-1.5760332303841
0.81800001859665	-1.5843591237382
0.82099997997284	-1.5928286274103
0.82400000095367	-1.6014463192594
0.82700002193451	-1.6102137060437
0.82999998331070	-1.6191336175001
0.83300000429153	-1.6282067551388
0.83600002527237	-1.6374348520322
0.83899998664856	-1.6468196560935
0.84200000762939	-1.6563632604226
0.84500002861023	-1.6660666517657
0.84799998998642	-1.6759317326601
0.85100001096725	-1.6859599867350
0.85399997234344	-1.6961500620919
0.85699999332428	-1.7065056861310
0.86000001430511	-1.7170261735801
0.86299997568130	-1.7277137058598
0.86599999666214	-1.7385676409854
0.86900001764297	-1.7495877042218
0.87199997901917	-1.7607753608977
0.87500000000000	-1.7721311179886
0.87800002098083	-1.7836539193021
0.88099998235703	-1.7953453719735
0.88400000333786	-1.8072035039814
0.88700002431870	-1.8192277859420
0.88999998569489	-1.8314186505300
0.89300000667572	-1.8437748492245
0.89600002765656	-1.8562962316299
0.89899998903275	-1.8689817763207
0.90200001001358	-1.8818290133395
0.90499997138977	-1.8948383619921
0.90799999237061	-1.9080083129483
0.91100001335144	-1.9213350324069
0.91399997472763	-1.9348197683330
0.91699999570847	-1.9484590276839
0.92000001668930	-1.9622525116012
0.92299997806549	-1.9761972195856
0.92599999904633	-1.9902896867837
0.92900002002716	-2.0045303695787
0.93199998140335	-2.0189143505796
0.93500000238419	-2.0334417947094
0.93800002336502	-2.0481074124147
0.94099998474121	-2.0629084691665
0.94400000572205	-2.0778434777822
0.94700002670288	-2.0929100640236
0.94999998807907	-2.1081048242236
0.95300000905991	-2.1234231306128
0.95599997043610	-2.1388632784191
0.95899999141693	-2.1544224807116
0.96200001239777	-2.1700951499020
0.96499997377396	-2.1858792435095
0.96799999475479	-2.2017713933424
0.97100001573563	-2.2177696484039
0.97399997711182	-2.2338671057862
0.97699999809265	-2.2500644914158
0.98000001907349	-2.2663540810868
0.98299998044968	-2.2827330178429
0.98600000143051	-2.2992010827559
0.98900002241135	-2.3157504061092
0.99199998378754	-2.3323800432218
0.99500000476837	-2.3490855237903
0.99800002574921	-2.3658651983255
1.0010000467300	-2.3827120396899
1.0039999485016	-2.3996239584357
1.0069999694824	-2.4165988871315
1.0099999904633	-2.4336299434200
1.0130000114441	-2.4507198342183
1.0160000324249	-2.4678596947242
1.0190000534058	-2.4850475347381
1.0219999551773	-2.5022823491153
1.0249999761581	-2.5195602287103
1.0279999971390	-2.5368768952303
1.0310000181198	-2.5542309609154
1.0340000391006	-2.5716202580720
1.0369999408722	-2.5890394999253
1.0399999618530	-2.6064887059816
1.0429999828339	-2.6239663319143
1.0460000038147	-2.6414686250458
1.0490000247955	-2.6589946905152
1.0520000457764	-2.6765410984055
1.0549999475479	-2.6941079767326
1.0579999685287	-2.7116929886052
1.0609999895096	-2.7292941628763
1.0640000104904	-2.7469123104918
1.0670000314713	-2.7645456865477
1.0700000524521	-2.7821933391109
1.0729999542236	-2.7998553858995
1.0759999752045	-2.8175309589147
1.0789999961853	-2.8352212799244
1.0820000171661	-2.8529245393345
1.0850000381470	-2.8706425995424
1.0880000591278	-2.8883753539482
1.0909999608994	-2.9061242025578
1.0939999818802	-2.9238882689599
1.0970000028610	-2.9416722082153
1.1000000238419	-2.9594770867054
1.1030000448227	-2.9773006437818
1.1059999465942	-2.9951496387552
1.1089999675751	-3.0130233374440
1.1119999885559	-3.0309238495755
1.1150000095367	-3.0488574694885
1.1180000305176	-3.0668234378497
1.1210000514984	-3.0848270015088
1.1239999532700	-3.1028701298983
1.1269999742508	-3.1209562723108
1.1299999952316	-3.1390916894768
1.1330000162125	-3.1572761001756
1.1360000371933	-3.1755174154170
1.1390000581741	-3.1938184719160
1.1419999599457	-3.2121845557720
1.1449999809265	-3.2306193898386
1.1480000019073	-3.2491307833785
1.1510000228882	-3.2677207179823
1.1540000438690	-3.2863947212999
1.1569999456406	-3.3051598022544
1.1599999666214	-3.3240209890176
1.1629999876022	-3.3429854102471
1.1660000085831	-3.3620572212734
1.1690000295639	-3.3812427939057
1.1720000505447	-3.4005496685098
1.1749999523163	-3.4199848925980
1.1779999732971	-3.4395517300731
1.1809999942780	-3.4592610007910
1.1840000152588	-3.4791161804261
1.1870000362396	-3.4991255124372
1.1900000572205	-3.5192970327523
1.1929999589920	-3.5396352545832
1.1959999799728	-3.5601505052352
1.1990000009537	-3.5808475729375
1.2020000219345	-3.6017345581177
1.2050000429153	-3.6228188538307
1.2079999446869	-3.6441074300769
1.2109999656677	-3.6656084771988
1.2139999866486	-3.6873285633414
1.2170000076294	-3.7092754097678
1.2200000286102	-3.7314568894376
1.2230000495911	-3.7538802961553
1.2259999513626	-3.7765521849629
1.2289999723434	-3.7994810912171
1.2319999933243	-3.8226728677489
1.2350000143051	-3.8461380076417
1.2380000352859	-3.8698795834004
1.2410000562668	-3.8939077909753
1.2439999580383	-3.9182294021071
1.2469999790192	-3.9428502512430
1.2500000000000	-3.9677782427011
1.2530000209808	-3.9930201349998
1.2560000419617	-4.0185820931439
1.2589999437332	-4.0444719134599
1.2619999647141	-4.0706941753790
1.2649999856949	-4.0972573310364
1.2680000066757	-4.1241666527845
