"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",SpinalCord
"Tissue","Frequency","Conductivity","Relative",
"name","[Hz]","[S/m]","permittivity",
SpinalCord        ,   3.0200e+9,   1.3390e+0,   2.9602e+1,
SpinalCord        ,   3.0500e+9,   1.3530e+0,   2.9575e+1,
SpinalCord        ,   3.0800e+9,   1.3672e+0,   2.9547e+1,
SpinalCord        ,   3.1100e+9,   1.3814e+0,   2.9520e+1,
SpinalCord        ,   3.1400e+9,   1.3957e+0,   2.9493e+1,
SpinalCord        ,   3.1700e+9,   1.4100e+0,   2.9466e+1,
SpinalCord        ,   3.2000e+9,   1.4245e+0,   2.9439e+1,
SpinalCord        ,   3.2300e+9,   1.4390e+0,   2.9412e+1,
SpinalCord        ,   3.2600e+9,   1.4536e+0,   2.9385e+1,
SpinalCord        ,   3.2900e+9,   1.4683e+0,   2.9359e+1,
SpinalCord        ,   3.3200e+9,   1.4831e+0,   2.9332e+1,
SpinalCord        ,   3.3500e+9,   1.4980e+0,   2.9305e+1,
SpinalCord        ,   3.3800e+9,   1.5129e+0,   2.9279e+1,
SpinalCord        ,   3.4100e+9,   1.5279e+0,   2.9252e+1,
SpinalCord        ,   3.4400e+9,   1.5430e+0,   2.9226e+1,
SpinalCord        ,   3.4700e+9,   1.5582e+0,   2.9199e+1,
SpinalCord        ,   3.5000e+9,   1.5735e+0,   2.9173e+1,
