"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",SpinalCord
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
SpinalCord        ,   1.9400e+9,   8.9211e-1,   3.0697e+1,   2.6928e-1,   2.7647e-2,   3.3262e-2,
SpinalCord        ,   1.9700e+9,   9.0292e-1,   3.0661e+1,   2.6870e-1,   2.7242e-2,   3.2844e-2,
SpinalCord        ,   2.0000e+9,   9.1383e-1,   3.0627e+1,   2.6817e-1,   2.6850e-2,   3.2432e-2,
SpinalCord        ,   2.0300e+9,   9.2482e-1,   3.0592e+1,   2.6769e-1,   2.6469e-2,   3.2028e-2,
SpinalCord        ,   2.0600e+9,   9.3592e-1,   3.0558e+1,   2.6725e-1,   2.6098e-2,   3.1630e-2,
SpinalCord        ,   2.0900e+9,   9.4710e-1,   3.0525e+1,   2.6686e-1,   2.5738e-2,   3.1238e-2,
SpinalCord        ,   2.1200e+9,   9.5838e-1,   3.0491e+1,   2.6650e-1,   2.5389e-2,   3.0853e-2,
SpinalCord        ,   2.1500e+9,   9.6975e-1,   3.0459e+1,   2.6619e-1,   2.5048e-2,   3.0474e-2,
SpinalCord        ,   2.1800e+9,   9.8122e-1,   3.0426e+1,   2.6592e-1,   2.4717e-2,   3.0101e-2,
SpinalCord        ,   2.2100e+9,   9.9278e-1,   3.0394e+1,   2.6568e-1,   2.4395e-2,   2.9735e-2,
SpinalCord        ,   2.2400e+9,   1.0044e+0,   3.0362e+1,   2.6547e-1,   2.4081e-2,   2.9374e-2,
SpinalCord        ,   2.2700e+9,   1.0162e+0,   3.0330e+1,   2.6531e-1,   2.3776e-2,   2.9019e-2,
SpinalCord        ,   2.3000e+9,   1.0280e+0,   3.0299e+1,   2.6517e-1,   2.3478e-2,   2.8670e-2,
SpinalCord        ,   2.3300e+9,   1.0399e+0,   3.0268e+1,   2.6507e-1,   2.3188e-2,   2.8326e-2,
SpinalCord        ,   2.3600e+9,   1.0520e+0,   3.0237e+1,   2.6499e-1,   2.2905e-2,   2.7988e-2,
SpinalCord        ,   2.3900e+9,   1.0641e+0,   3.0206e+1,   2.6495e-1,   2.2629e-2,   2.7656e-2,
SpinalCord        ,   2.4200e+9,   1.0763e+0,   3.0176e+1,   2.6493e-1,   2.2360e-2,   2.7328e-2,
SpinalCord        ,   2.4500e+9,   1.0886e+0,   3.0145e+1,   2.6494e-1,   2.2097e-2,   2.7006e-2,
SpinalCord        ,   2.4800e+9,   1.1009e+0,   3.0115e+1,   2.6498e-1,   2.1840e-2,   2.6689e-2,
SpinalCord        ,   2.5100e+9,   1.1134e+0,   3.0086e+1,   2.6504e-1,   2.1590e-2,   2.6377e-2,
SpinalCord        ,   2.5400e+9,   1.1260e+0,   3.0056e+1,   2.6512e-1,   2.1345e-2,   2.6070e-2,
SpinalCord        ,   2.5700e+9,   1.1386e+0,   3.0026e+1,   2.6523e-1,   2.1106e-2,   2.5768e-2,
SpinalCord        ,   2.6000e+9,   1.1514e+0,   2.9997e+1,   2.6537e-1,   2.0873e-2,   2.5470e-2,
SpinalCord        ,   2.6300e+9,   1.1642e+0,   2.9968e+1,   2.6552e-1,   2.0645e-2,   2.5178e-2,
SpinalCord        ,   2.6600e+9,   1.1771e+0,   2.9939e+1,   2.6570e-1,   2.0421e-2,   2.4890e-2,
SpinalCord        ,   2.6900e+9,   1.1901e+0,   2.9910e+1,   2.6589e-1,   2.0203e-2,   2.4606e-2,
SpinalCord        ,   2.7200e+9,   1.2032e+0,   2.9882e+1,   2.6611e-1,   1.9990e-2,   2.4327e-2,
SpinalCord        ,   2.7500e+9,   1.2164e+0,   2.9853e+1,   2.6634e-1,   1.9781e-2,   2.4052e-2,
SpinalCord        ,   2.7800e+9,   1.2297e+0,   2.9825e+1,   2.6660e-1,   1.9576e-2,   2.3781e-2,
SpinalCord        ,   2.8100e+9,   1.2431e+0,   2.9797e+1,   2.6687e-1,   1.9376e-2,   2.3515e-2,
SpinalCord        ,   2.8400e+9,   1.2565e+0,   2.9768e+1,   2.6716e-1,   1.9180e-2,   2.3253e-2,
SpinalCord        ,   2.8700e+9,   1.2700e+0,   2.9740e+1,   2.6747e-1,   1.8988e-2,   2.2995e-2,
SpinalCord        ,   2.9000e+9,   1.2837e+0,   2.9713e+1,   2.6779e-1,   1.8800e-2,   2.2741e-2,
SpinalCord        ,   2.9300e+9,   1.2974e+0,   2.9685e+1,   2.6813e-1,   1.8616e-2,   2.2490e-2,
SpinalCord        ,   2.9600e+9,   1.3112e+0,   2.9657e+1,   2.6848e-1,   1.8435e-2,   2.2244e-2,
SpinalCord        ,   2.9900e+9,   1.3250e+0,   2.9630e+1,   2.6885e-1,   1.8259e-2,   2.2001e-2,
SpinalCord        ,   3.0200e+9,   1.3390e+0,   2.9602e+1,   2.6923e-1,   1.8085e-2,   2.1762e-2,
SpinalCord        ,   3.0500e+9,   1.3530e+0,   2.9575e+1,   2.6963e-1,   1.7915e-2,   2.1527e-2,
SpinalCord        ,   3.0800e+9,   1.3672e+0,   2.9547e+1,   2.7004e-1,   1.7748e-2,   2.1295e-2,
SpinalCord        ,   3.1100e+9,   1.3814e+0,   2.9520e+1,   2.7046e-1,   1.7585e-2,   2.1067e-2,
SpinalCord        ,   3.1400e+9,   1.3957e+0,   2.9493e+1,   2.7090e-1,   1.7424e-2,   2.0843e-2,
SpinalCord        ,   3.1700e+9,   1.4100e+0,   2.9466e+1,   2.7135e-1,   1.7267e-2,   2.0621e-2,
SpinalCord        ,   3.2000e+9,   1.4245e+0,   2.9439e+1,   2.7181e-1,   1.7112e-2,   2.0403e-2,
SpinalCord        ,   3.2300e+9,   1.4390e+0,   2.9412e+1,   2.7228e-1,   1.6960e-2,   2.0188e-2,
SpinalCord        ,   3.2600e+9,   1.4536e+0,   2.9385e+1,   2.7277e-1,   1.6812e-2,   1.9977e-2,
SpinalCord        ,   3.2900e+9,   1.4683e+0,   2.9359e+1,   2.7326e-1,   1.6665e-2,   1.9769e-2,
SpinalCord        ,   3.3200e+9,   1.4831e+0,   2.9332e+1,   2.7377e-1,   1.6522e-2,   1.9563e-2,
SpinalCord        ,   3.3500e+9,   1.4980e+0,   2.9305e+1,   2.7428e-1,   1.6381e-2,   1.9361e-2,
SpinalCord        ,   3.3800e+9,   1.5129e+0,   2.9279e+1,   2.7481e-1,   1.6242e-2,   1.9162e-2,
SpinalCord        ,   3.4100e+9,   1.5279e+0,   2.9252e+1,   2.7534e-1,   1.6106e-2,   1.8966e-2,
SpinalCord        ,   3.4400e+9,   1.5430e+0,   2.9226e+1,   2.7589e-1,   1.5972e-2,   1.8772e-2,
SpinalCord        ,   3.4700e+9,   1.5582e+0,   2.9199e+1,   2.7644e-1,   1.5841e-2,   1.8582e-2,
SpinalCord        ,   3.5000e+9,   1.5735e+0,   2.9173e+1,   2.7701e-1,   1.5711e-2,   1.8394e-2,
