"SINGLE TISSUE, FREQUENCY RANGE","TISSUE: ",BrainWhiteMatter
"Tissue","Frequency","Conductivity","Relative","Loss","Wavelength","Penetration",
"name","[Hz]","[S/m]","permittivity","tangent","[m]","depth [m]",
BrainWhiteMatter  ,   1.8500e+9,   9.3605e-1,   3.6939e+1,   2.4622e-1,   2.6466e-2,   3.4726e-2,
BrainWhiteMatter  ,   1.8800e+9,   9.4887e-1,   3.6896e+1,   2.4589e-1,   2.6059e-2,   3.4236e-2,
BrainWhiteMatter  ,   1.9100e+9,   9.6181e-1,   3.6854e+1,   2.4561e-1,   2.5665e-2,   3.3756e-2,
BrainWhiteMatter  ,   1.9400e+9,   9.7487e-1,   3.6813e+1,   2.4537e-1,   2.5283e-2,   3.3284e-2,
BrainWhiteMatter  ,   1.9700e+9,   9.8806e-1,   3.6772e+1,   2.4518e-1,   2.4912e-2,   3.2822e-2,
BrainWhiteMatter  ,   2.0000e+9,   1.0014e+0,   3.6732e+1,   2.4502e-1,   2.4552e-2,   3.2367e-2,
BrainWhiteMatter  ,   2.0300e+9,   1.0148e+0,   3.6692e+1,   2.4490e-1,   2.4202e-2,   3.1922e-2,
BrainWhiteMatter  ,   2.0600e+9,   1.0283e+0,   3.6652e+1,   2.4482e-1,   2.3863e-2,   3.1484e-2,
BrainWhiteMatter  ,   2.0900e+9,   1.0420e+0,   3.6613e+1,   2.4477e-1,   2.3533e-2,   3.1055e-2,
BrainWhiteMatter  ,   2.1200e+9,   1.0557e+0,   3.6574e+1,   2.4476e-1,   2.3212e-2,   3.0633e-2,
BrainWhiteMatter  ,   2.1500e+9,   1.0696e+0,   3.6535e+1,   2.4478e-1,   2.2900e-2,   3.0220e-2,
BrainWhiteMatter  ,   2.1800e+9,   1.0837e+0,   3.6497e+1,   2.4482e-1,   2.2597e-2,   2.9814e-2,
BrainWhiteMatter  ,   2.2100e+9,   1.0978e+0,   3.6459e+1,   2.4490e-1,   2.2302e-2,   2.9415e-2,
BrainWhiteMatter  ,   2.2400e+9,   1.1120e+0,   3.6422e+1,   2.4501e-1,   2.2014e-2,   2.9023e-2,
BrainWhiteMatter  ,   2.2700e+9,   1.1264e+0,   3.6385e+1,   2.4515e-1,   2.1734e-2,   2.8639e-2,
BrainWhiteMatter  ,   2.3000e+9,   1.1409e+0,   3.6348e+1,   2.4531e-1,   2.1461e-2,   2.8261e-2,
